zip,lat,lon,urban,records_2020,records_2021
86442,35.0896135,-114.560868,1,0,0
86443,35.9487538,-114.4448722,0,0,0
92405,34.1446262,-117.3013017,1,0,0
86444,35.8970366,-114.0472121,0,0,0
86445,35.776342,-114.5023737,0,0,0
98358,48.0637958,-122.7131629,0,0,0
83535,46.5341945,-116.7240047,0,0,0
98359,47.431079,-122.5749164,1,0,0
98360,47.0514128,-122.1532402,1,0,0
83536,46.2237047,-116.0013023,0,0,0
98361,46.5384235,-121.5048606,0,0,0
83537,46.6376248,-116.5508839,0,0,0
98362,47.930607,-123.3647171,1,0,0
83539,46.2568243,-114.8466269,0,0,0
83540,46.3452037,-116.7826786,0,0,0
98363,48.0035133,-123.8228536,1,0,0
98364,47.8471585,-122.5883471,0,0,0
83541,46.5133765,-116.4694646,1,0,0
98365,47.8848584,-122.7014253,0,0,0
83542,45.5691269,-116.3572893,0,0,0
83543,46.2732007,-116.2334301,0,0,0
98366,47.5412534,-122.5770285,1,0,0
83544,46.4909171,-116.1514125,1,0,0
83545,46.4264239,-116.4217934,0,0,0
98367,47.461156,-122.6980003,1,0,0
83546,46.5600091,-115.822123,0,0,0
95111,37.2831109,-121.8262447,1,0,0
95116,37.3504209,-121.8525852,1,0,0
95117,37.3112104,-121.9618839,1,0,0
95119,37.2303267,-121.7852272,1,0,0
95121,37.3041649,-121.8098639,1,0,0
95122,37.3286828,-121.8352681,1,0,0
95125,37.2950491,-121.891409,1,0,0
95126,37.3267717,-121.9167439,1,0,0
95127,37.3710921,-121.800755,1,0,0
95128,37.3159742,-121.9363096,1,0,0
95129,37.3057424,-122.000927,1,0,0
95130,37.2771208,-121.9861325,1,0,0
95131,37.3871047,-121.8974151,1,0,0
95132,37.4275193,-121.7511062,1,0,0
95133,37.3716063,-121.8608436,1,0,0
95134,37.4285605,-121.9434498,1,0,0
95135,37.2838128,-121.6584678,1,0,0
95136,37.2691276,-121.8509921,1,0,0
95138,37.2466233,-121.7338328,1,0,0
95139,37.2249137,-121.7640753,1,0,0
95140,37.3935034,-121.6200089,0,0,0
76940,31.4390351,-100.1429318,0,0,0
76941,31.2723816,-100.8894679,0,0,0
76943,30.5343137,-101.3064066,1,0,0
76945,31.8849555,-100.6107101,0,0,0
76949,32.0411403,-100.6945795,0,0,0
76950,30.441414,-100.5606199,1,0,0
76951,31.8027482,-101.0556248,0,0,0
76953,31.7237631,-100.3318473,0,0,0
76955,31.2895227,-100.1526696,0,0,0
76957,31.3721485,-100.3051596,0,0,0
76958,31.5951056,-100.7993575,0,0,0
77002,29.7568447,-95.3656519,1,0,0
77003,29.7497783,-95.3458849,1,0,0
77004,29.7248926,-95.3637516,1,0,0
77005,29.7184351,-95.4235554,1,0,0
77006,29.7409697,-95.3913012,1,0,0
77007,29.7715454,-95.4110828,1,0,0
30807,33.4574077,-82.6486205,0,0,0
30808,33.3841141,-82.3919233,1,0,0
30809,33.5585266,-82.1711853,1,0,0
30810,33.2356613,-82.5898529,0,0,0
30812,33.3672329,-82.0285731,1,0,0
30813,33.4716682,-82.2200511,1,0,0
30814,33.4371014,-82.3085267,1,0,0
30815,33.2873557,-82.0901745,1,0,0
30816,33.1561744,-82.1662706,1,0,0
30817,33.7783876,-82.430194,0,0,0
30818,33.2764269,-82.3389663,0,0,0
30820,33.2175919,-82.7098886,0,0,0
30821,33.4921074,-82.7379943,0,0,0
30822,32.9263366,-81.8526861,0,0,0
30823,33.2260046,-82.4533797,0,0,0
30824,33.5129533,-82.5148545,1,0,0
30828,33.3680376,-82.6563124,0,0,0
30830,33.079811,-81.9753374,1,0,0
30833,33.1912503,-82.3531316,0,0,0
30901,33.4372126,-81.9561564,1,0,0
30903,33.4901485,-82.1626877,1,0,0
30905,33.41516,-82.1425732,1,0,0
30906,33.3467323,-81.967703,1,0,0
30907,33.5237117,-82.0856651,1,0,0
30909,33.4704807,-82.0830452,1,0,0
30912,33.4705095,-81.9880942,1,0,0
31001,31.9762563,-83.339665,0,0,0
27006,35.9390037,-80.440264,1,0,0
27009,36.230926,-80.0786462,1,0,0
84113,40.7646413,-111.8335085,1,0,0
84116,40.7938465,-111.9777716,1,0,0
84117,40.6610444,-111.8347136,1,0,0
84119,40.7002584,-111.9464247,1,0,0
84120,40.6974756,-112.0012393,1,0,0
84121,40.6178471,-111.6857885,1,0,0
84124,40.6771922,-111.8132881,1,0,0
84128,40.7004494,-112.0467721,1,0,0
84144,40.7682605,-111.8925253,1,0,0
84180,40.7704443,-111.9011046,1,0,0
84301,41.6082017,-112.1301254,0,0,0
84302,41.5535916,-112.0507534,1,0,0
84304,41.8194972,-111.997798,0,0,0
84305,41.9441497,-112.0756309,0,0,0
84306,41.8004579,-112.0577056,0,0,0
84307,41.480119,-112.5372057,0,0,0
84308,41.9670711,-112.0093288,0,0,0
84309,41.714081,-112.0983663,0,0,0
84310,41.335387,-111.846823,1,0,0
84311,41.8236698,-112.1160134,0,0,0
84312,41.7773004,-112.1560938,1,0,0
84313,41.660143,-113.9623124,0,0,0
84314,41.6484111,-112.0928531,0,0,0
84315,41.167508,-112.1377732,1,0,0
84316,41.7709063,-112.484151,0,0,0
84317,41.3075426,-111.620158,0,0,0
84318,41.8025683,-111.8136753,1,0,0
84320,41.9651794,-111.8457972,0,0,0
78215,29.4412582,-98.4804984,1,0,0
78216,29.5372642,-98.4878824,1,0,0
78220,29.4181509,-98.394314,1,0,0
78221,29.2986397,-98.4831152,1,0,0
78222,29.3549264,-98.3718864,1,0,0
78223,29.3119396,-98.3910064,1,1,0
78224,29.2983338,-98.5371494,1,0,0
78225,29.3879903,-98.5260282,1,0,0
78226,29.383778,-98.5699402,1,0,0
78227,29.4066244,-98.6303031,1,0,0
78228,29.4606458,-98.5712789,1,0,0
78230,29.5465145,-98.5572073,1,0,0
78231,29.5785413,-98.5419035,1,0,0
78232,29.5886379,-98.4745848,1,0,0
78233,29.5558177,-98.3619053,1,0,0
78234,29.4608965,-98.43834,1,0,0
78235,29.345382,-98.4434017,1,0,0
78236,29.3912835,-98.6187345,1,0,0
78238,29.471773,-98.6176791,1,0,0
45721,39.5654877,-81.5843773,0,0,0
45723,39.2262723,-81.823487,0,0,0
45724,39.3834374,-81.8004108,0,0,0
45727,39.650084,-81.4881845,0,0,0
45729,39.4183732,-81.6043969,0,0,0
45732,39.515733,-82.0683573,1,0,0
45734,39.6411437,-81.1956515,0,0,0
45735,39.2617974,-81.9282581,0,0,0
45740,39.4780845,-82.0766889,1,0,0
45741,39.075065,-82.2470766,0,0,0
45742,39.2870765,-81.7303927,1,0,0
45743,39.0752983,-81.8348459,0,0,0
45744,39.5487711,-81.4939766,1,0,0
45745,39.6061687,-81.3296377,0,0,0
45746,39.6071065,-81.4588236,0,0,0
45750,39.4299493,-81.4221753,1,0,0
45760,39.0168454,-82.1217015,1,0,0
45761,39.4257919,-82.0753534,1,0,0
45764,39.4424945,-82.2314171,1,0,0
45766,39.325638,-82.2573905,0,0,0
45767,39.539275,-81.128173,0,0,0
45768,39.4226458,-81.2950886,1,0,0
45769,39.1092842,-82.0510401,1,0,0
45770,38.9826077,-81.7982724,0,0,0
45771,38.981548,-81.8945107,1,0,0
45772,39.1487056,-81.8191695,0,0,0
45773,39.4585156,-81.2673043,0,0,0
45775,39.0828818,-82.1542327,0,0,0
45776,39.1814105,-82.024066,0,0,0
45778,39.3535316,-81.8930659,0,0,0
45779,38.9977017,-81.9659123,1,0,0
45780,39.3664384,-82.1308806,1,0,0
5340,43.1689463,-72.9723859,0,0,0
5341,42.9745443,-72.8010512,0,0,0
5342,42.777497,-72.7948206,0,0,0
5343,43.1026637,-72.8200136,0,0,0
5345,42.987266,-72.6847064,0,0,0
5346,43.0376885,-72.5365222,0,0,0
5350,42.7909426,-72.9726397,0,0,0
5352,42.8080542,-73.076246,0,0,0
5353,43.0828562,-72.6814792,0,0,0
5354,42.7641329,-72.5220862,1,0,0
5355,43.0194784,-72.8121484,0,0,0
5356,42.9755289,-72.8645806,0,0,0
5358,42.7733447,-72.7054688,0,0,0
5359,43.1530855,-72.7159185,0,0,0
5360,43.0001188,-72.9469709,0,0,0
5361,42.7806939,-72.8791314,0,0,0
5362,42.9352197,-72.6598955,0,0,0
5363,42.882781,-72.8931259,0,0,0
5401,44.4766215,-73.2099981,1,0,0
5403,44.4448665,-73.1734678,1,0,0
13207,43.0128129,-76.1633173,1,0,0
13209,43.0685024,-76.2242507,1,0,0
13210,43.0310567,-76.1272491,1,0,0
13211,43.1035724,-76.1194842,1,0,0
13212,43.1296974,-76.1301544,1,0,0
13214,43.0387089,-76.0755913,1,0,0
13215,42.9807929,-76.2233857,1,0,0
13219,43.0412663,-76.2241952,1,0,0
79565,32.3973719,-101.0878163,0,0,0
79566,32.1089836,-100.1345883,0,0,0
79567,31.9724297,-99.9503048,1,0,0
79601,32.5764891,-99.6653231,1,0,0
79603,32.4860468,-99.9090716,1,0,0
79605,32.4345987,-99.7818269,1,0,0
79606,32.3627667,-99.8173342,1,1,0
79607,32.43035,-99.8326413,1,0,0
79699,32.462235,-99.7158939,1,0,0
79701,31.9923858,-102.081461,1,0,0
79705,32.051161,-102.059536,1,0,0
79707,32.0431348,-102.2047025,1,0,0
79713,32.4898177,-101.754488,0,0,0
79714,32.3357287,-102.6973035,1,0,0
79718,31.0049693,-103.7590646,0,0,0
79719,31.460655,-103.4041373,0,0,0
79720,32.2535409,-101.4726396,1,0,0
79730,31.1695206,-103.0851349,0,0,0
79731,31.4227965,-102.4877739,1,0,0
79733,32.1029106,-101.3654341,0,0,0
79734,30.6861391,-103.9601497,0,0,0
79735,30.7539742,-102.8054689,1,0,0
79738,32.7519339,-101.4748367,0,0,0
79739,31.7693246,-101.506391,0,0,0
79741,31.9693122,-102.6308816,1,0,0
79742,31.3420397,-102.8684472,0,0,0
79743,31.1857029,-102.593762,0,0,0
79744,30.9220061,-101.9702613,0,0,0
10010,40.7391043,-73.9824551,1,0,0
10012,40.7255806,-73.9980784,1,0,0
10014,40.7340123,-74.0067462,1,0,0
10016,40.7452206,-73.9782937,1,0,0
10017,40.7523591,-73.9724891,1,0,0
10018,40.755332,-73.9931395,1,0,0
10020,40.7582363,-73.978833,1,0,0
61539,40.5564005,-89.7621164,0,0,0
53114,42.5969896,-88.7518043,1,0,0
61540,41.0145997,-89.3665971,0,0,0
61541,40.9803784,-89.2349522,0,0,0
61542,40.3897288,-90.1302359,0,0,0
53115,42.6566031,-88.6682935,1,0,0
61543,40.4178594,-89.9775416,0,0,0
61544,40.6936477,-90.2357925,0,0,0
61545,40.8707135,-89.3534918,0,0,0
53118,42.9624947,-88.491539,1,0,0
53119,42.8930898,-88.4856083,1,0,0
61546,40.4483371,-89.8095882,1,0,0
61547,40.5737705,-89.7905243,1,0,0
53120,42.8027498,-88.4174638,1,0,0
61548,40.8140486,-89.4200283,1,0,0
53121,42.7196652,-88.5343174,1,0,0
53122,43.0475203,-88.0870288,1,0,0
53125,42.5500395,-88.5543723,1,0,0
61550,40.6102494,-89.4418542,1,0,0
61552,40.8176595,-89.5657218,1,0,0
61553,40.6259315,-90.032265,0,0,0
53126,42.7944816,-87.997744,1,0,0
53128,42.5288093,-88.334964,1,0,0
53130,42.9412314,-88.0494996,1,0,0
42366,37.722748,-86.9385153,1,0,0
48744,43.3480421,-83.3592551,0,0,0
42367,37.2394206,-87.1599049,1,0,0
42368,37.7029464,-86.7540713,0,0,0
42369,37.3586479,-87.003767,0,0,0
48745,44.5637001,-83.4840313,0,0,0
42370,37.4490198,-86.7389281,0,0,0
42371,37.5100213,-87.2896467,0,0,0
