INTR_PER_ACRE,RAPID_TRANSIT_ACCESS,TOTAL_EMPLOYMENT,JOBS_PPL_PER_ARCE,POP_FEMALE_PERC,POP_AGE_18_34_PERC,POP_AGE_45_64_PERC,POP_AGE_65_PERC,EDU_2_PERC,RACE_BAA_PERC,RACE_OTHER,VEH_1,TENURE_OWN_PERC,AVG_HH_SIZE_RENT,CONNECTED_NODE_RATIO,TRIP_ORIGINS,TRIP_DESTI,TRIP_ACTIV,TRIP_VMT,RESIDENTIAL_ROADS_PERC
1.57,0,512,8.25,0.56,0.15,0.337,0.22,0.22,0.01,223,352,0.91,2.95,0.17,0,5,5,43,0.86
1.13,1,576,15.21,0.52,0.27,0.257,0.08,0.14,0.08,751,1019,0.31,2.32,0.17,86,64,150,415,0.72
0.08,0,508,0.14,0.5,0.16,0.28,0.19,0.1,0,146,42,0.88,1.95,0.13,0,1,1,104,0.94
0.36,0,892,1.13,0.54,0.06,0.277,0.54,0.26,0.02,200,248,0.99,2.87,0.14,0,2,2,136,0.83
0.01,0,284,0.01,0.49,0.09,0.302,0.29,0.13,0.02,453,223,0.9,4,0.06,0,3,3,1153,0.68
0.01,0,645,0.04,0.49,0.23,0.154,0.11,0.07,0.03,1152,584,0.77,3.63,0.17,0,3,3,852,0.79
0.16,0,566,1.8,0.49,0.22,0.213,0.12,0.03,0.07,759,338,0.51,2.83,0.42,0,0,0,2,0.79
0.21,0,715,0.54,0.49,0.18,0.436,0.18,0.11,0,117,291,0.78,2.55,0.13,0,7,7,66,0.82
0.08,0,200,0.21,0.51,0,0.134,0.87,0.3,0,0,139,0.98,1.7,0.12,0,0,0,0,0.81
0.01,0,3080,0.03,0.49,0.24,0.214,0.12,0.05,0.05,3508,590,0.58,4.05,0.1,0,23,23,205,0.74
0.11,0,369,0.32,0.5,0.22,0.244,0.28,0.1,0.01,998,131,0.78,3.27,0.24,0,1,1,19,0.84
0.1,0,184,0.17,0.54,0.11,0.259,0.27,0.14,0,173,60,0.97,4.07,0.13,0,0,0,498,0.83
0.03,0,507,0.26,0.05,0.4,0.283,0.04,0.03,0.12,1776,39,0.63,3.94,0.07,0,1,1,3,0.98
0.88,0,244,13.69,0.48,0.24,0.174,0.07,0.08,0.03,2046,1133,0.76,4.01,0.22,0,9,9,41,0.82
0.01,0,242,0.03,0.43,0.18,0.334,0.18,0.07,0.02,76,54,0.85,2.46,0.19,0,1,1,98,0.68
0.02,0,963,0.02,0.5,0.23,0.224,0.27,0.04,0.01,315,110,0.75,3.35,0.04,0,1,1,173,0.8
0.01,0,91,0.01,0.43,0.36,0.199,0.1,0.02,0,1799,107,0.35,2.36,0.09,0,7,7,3959,0.67
0.01,0,499,0.01,0.48,0.18,0.322,0.23,0.02,0,323,62,0.85,3.06,0.05,0,0,0,0,0.68
0.3,0,580,1.94,0.53,0.2,0.214,0.11,0.09,0.02,652,418,0.89,3.95,0.18,0,33,33,266,0.8
0.76,0,1899,11.44,0.5,0.28,0.186,0.06,0.02,0.04,1244,243,0.85,4.57,0.14,46,83,129,304,0.71
1.66,0,1089,15.71,0.47,0.25,0.25,0.06,0.02,0.03,3400,963,0.43,3.48,0.15,150,153,303,507,0.63
